"pu_month","pu_hour","num_trips_airport","avg_tip_amount_airport","avg_trip_dist_airport","num_trips_non_airport","avg_tip_amount_non_airport","avg_trip_dist_non_airport"
1,0,13252,5.86329761545427,12.9487111379414,192667,1.66776199349136,2.72948257874986
4,0,15271,5.90032610830987,13.1721511361404,190431,2.02920023525581,2.8346014566956
7,0,18320,5.60999781659389,13.0958717248908,163481,1.98082890366465,2.89424361240756
10,0,15824,5.74601554600607,13.4005769716886,186877,2.08779646505455,2.81897226517977
11,0,11262,5.91244983129107,13.6798019889895,188575,2.08178406469574,2.77662749569137
12,0,15266,5.66585025546967,12.8691471243286,199202,2.11325167417998,2.867111073182
1,1,5193,5.40397650683613,13.2864972077797,142565,1.64926651001298,2.80089951951741
4,1,7856,5.42727978615071,13.8215873217923,132757,1.96653351612344,2.86620946541425
7,1,9428,5.45072868052609,13.5259874840899,114576,1.90385717776847,2.9169050237397
10,1,5441,4.86671200147032,13.488270538504,130200,1.98858786482335,2.84061198156682
11,1,3689,4.93575765790187,13.6818948224451,145754,1.99820039244206,2.78847270057769
12,1,6062,5.27376113493896,12.9081722203893,137399,2.04505680536248,2.92113152206348
1,2,1742,4.6399196326062,13.4404707233065,106388,1.61427463623717,2.88173487611385
4,2,2933,5.25116604159564,14.1998261166042,94126,1.90643361026709,2.93963463867582
7,2,4095,5.18235653235653,13.7187936507937,82331,1.85200167616086,2.98876474232063
10,2,1737,4.97549798503166,14.2847668393782,93871,1.91854502455497,2.91482864782521
11,2,1445,4.43710726643599,14.195508650519,96932,1.92459786241902,2.88108127347006
12,2,2583,4.71898567557104,12.6128455284553,94565,1.97813303019087,3.01012975202242
1,3,2045,4.96591687041565,13.8014474327628,74906,1.52329880116413,3.00765906602942
4,3,2132,5.92155722326454,14.0242120075047,65016,1.81047249907715,3.09376015134736
7,3,2531,5.46232714342157,13.8173449229554,55045,1.7411034608048,3.13756054137524
10,3,2106,6.03653371320038,13.675465337132,63569,1.81975270965408,3.06403058094354
11,3,2147,5.47396832789939,13.5082533768048,65110,1.81804960835509,3.04714559975426
12,3,2647,5.5884888553079,13.5621269361541,63087,1.85216716597714,3.14009605782491
1,4,5061,6.40756965026675,13.479762892709,54957,1.30671142893535,3.23746492712484
4,4,6069,6.58551161641127,13.2351820728291,46613,1.54803595563469,3.31653036706498
7,4,5745,6.14045604873803,13.2008755439513,40151,1.46084680331748,3.42138253094568
10,4,6258,6.60941994247363,13.1551118568233,44923,1.56978073592592,3.38336331055361
11,4,5607,6.73252898163011,13.3051507044765,46001,1.58094389252408,3.29194430555857
12,4,6263,6.75988503911863,13.1756873702698,45065,1.62699079107955,3.43690957505825
1,5,11139,6.89739833019122,14.0958793428494,62404,1.09969841676816,2.58181526825204
4,5,12559,7.07945457440879,14.1023950951509,53830,1.41429630317667,2.62524094371169
7,5,11244,6.50789576663109,13.4376627534685,47803,1.370262745016,2.83164822291488
10,5,13205,6.6587686482393,13.5543710715638,50176,1.46535973373724,2.86210618622449
11,5,13133,6.79547628112389,13.6961044696566,47168,1.47596866519674,2.81315256105834
12,5,12634,6.8049548836473,13.5806047174292,44803,1.43734727585206,2.93026538401446
1,6,14979,6.88445490353161,14.2059029307697,160125,1.17248661982826,2.21922978922717
4,6,17701,6.80548952036608,13.772598723236,137282,1.49886168616425,2.27726140353433
7,6,16764,6.50247792889525,13.6227213075638,121106,1.48477779796212,2.37901070136905
10,6,17874,6.61811961508336,13.3073481033904,125459,1.54796913732773,2.43096860328872
11,6,16001,6.59442597337666,13.4479638772577,113035,1.5423039766444,2.39487158844606
12,6,17079,6.75887639791557,13.4564143099713,107618,1.52595355795499,2.43857774721701
1,7,18179,6.98321469827823,13.8233841245393,282590,1.39602593863902,2.08314409568633
4,7,20268,6.67187783698441,13.2401499901322,254916,1.73056602959406,2.1205289585589
7,7,19215,6.42369555035129,13.1677777777778,196839,1.70112843491381,2.21661042781156
10,7,20757,6.56040371922725,12.9893211928506,250538,1.77462013746418,2.16998994164558
11,7,18078,6.60387155658812,13.0569216727514,222522,1.77419796694259,2.13076486819281
12,7,19527,6.55549597992523,13.1874896297434,207767,1.73208960036964,2.15867245520222
1,8,19372,6.4262058641338,13.1331607474706,350269,1.52623529344589,1.93225395339011
4,8,21783,6.43002846256255,12.6223780011936,317286,1.8627881469715,1.99864935736213
7,8,20699,6.09809459394174,12.5124493936905,263281,1.86715361154052,2.11159616531387
10,8,21950,6.21720045558087,12.4033954441913,311904,1.90203216374269,2.01917144377757
11,8,19916,6.2742714400482,12.4845219923679,277895,1.89905511074327,1.99407089008438
12,8,21596,6.35201657714392,12.5541396554918,270276,1.83952363509894,2.00915164498513
1,9,20164,6.15730559412815,12.4654473318786,341912,1.50226789349306,1.8870739254545
4,9,22917,6.23805515556137,12.0871636776192,319121,1.83486505118748,1.97189097552339
7,9,21671,5.95444464953163,11.9914332518112,273170,1.81495171504924,2.03112523337116
10,9,22573,6.10961812785186,11.9025853896248,315985,1.88115467506369,1.9740920929791
11,9,20401,6.11006372236655,12.0454448311357,288160,1.87030649639089,1.94988843003887
12,9,22069,5.95936245412117,12.0819620281843,285777,1.8032984459911,1.96616445690171
1,10,22344,6.15133100608664,12.2725156641604,335012,1.41726481439471,1.89558791923871
4,10,25913,5.96496932041832,12.1947520549531,320754,1.76420920705587,1.97361354807734
7,10,23991,5.60833145762994,12.158617815014,271246,1.72188736423763,2.04346471468704
10,10,26002,5.86815975694177,11.8980997615568,316893,1.80839286446845,1.96314311139722
11,10,24007,6.04104302911651,11.8351489148998,295966,1.79985744984221,1.94793466141381
12,10,24387,5.9560704473695,11.9119666215607,300435,1.74161522459101,2.01283951603508
1,11,19942,6.4042463143115,12.328511182429,351506,1.39151869384875,1.89326148060062
4,11,27152,6.14027990571597,12.1471932086034,335506,1.75384237539716,1.96292874046962
7,11,25431,5.93235775234949,12.3545043450906,284730,1.69677993186528,2.02550352965968
10,11,27542,6.15672899571563,12.1305910972333,329881,1.81950172941152,1.96621393775331
11,11,23739,6.06339441425502,11.7865857871014,316942,1.79514949107408,1.94428624164674
12,11,24774,6.09193590054089,11.9385496891903,326159,1.74088775719818,1.92981128835936
1,12,24675,6.35900911854103,12.5809661600811,371903,1.36306789673651,1.89479530952964
4,12,30216,6.27401145088695,12.5019830553349,349677,1.74043894794339,1.95306039573664
7,12,27796,5.94896891639085,12.3544272557202,303700,1.67230148172539,2.0003131379651
10,12,30328,6.27042666842522,12.3106241756792,343830,1.80744856469767,1.94838926213536
11,12,28740,6.2009885177453,12.4577811412665,335012,1.78336943154275,1.92319964657982
12,12,28589,6.13631676518941,12.4849312672706,346510,1.74476101699807,1.90595824074341
1,13,28659,6.47091001081685,13.2542579992324,370890,1.35422629351021,1.91675604626709
4,13,33616,6.3597304854831,13.0683469181342,349603,1.73189191740345,1.97971152993538
7,13,30433,6.2124019978313,13.169626392403,308339,1.66242969588667,2.00572159214371
10,13,35146,6.415062596028,13.0976947590053,336927,1.78902702959395,1.97382050117681
11,13,32653,6.40402137629008,13.1176075705142,334210,1.77795236527932,1.95377134137219
12,13,33475,6.30716176250934,12.9939145631068,346335,1.73962972266736,1.92440761112795
1,14,32622,6.52948501011587,13.3970685427012,395274,1.35667352267035,1.92593613544023
4,14,37489,6.51775267411774,13.3531822667983,368081,1.73491457043423,1.98678736473765
7,14,35578,6.25545308898758,13.2370166957108,318225,1.6718128996779,2.00372032367036
10,14,40686,6.59942756722214,13.31049353586,351868,1.7972023031364,1.97957609103414
11,14,38627,6.60087477671059,13.1910184585911,346119,1.79278979195017,1.95921960366232
12,14,38226,6.60510280960603,13.2555611363993,358539,1.76083246174056,1.94153682026223
1,15,33745,6.48391080160024,12.8623434582901,413255,1.36082026835731,1.92016737849512
4,15,39461,6.53380147487393,13.0170368211652,371147,1.73665278178188,1.98129549747135
7,15,34802,6.3230279868973,13.0621309120166,315480,1.67188842398884,2.0199982249271
10,15,40320,6.77719196428571,13.1505773809524,353268,1.80853839011742,1.9833262565531
11,15,36997,6.78179960537341,12.9776135902911,351230,1.79093867266464,1.954024029838
12,15,36323,6.74487955290037,12.946474685461,362900,1.76188027004684,1.94385651694682
1,16,33143,6.92270796246568,13.1882128956341,381985,1.44500393994529,1.96324300692436
4,16,38097,6.91194844738431,13.0865238732709,350415,1.81594269651699,2.01787206597891
7,16,33359,6.47780748823406,13.05984322072,294814,1.79094076265035,2.07028594300135
10,16,37723,6.89524534103862,13.0025610370331,331510,1.8981082621942,2.00883873789629
11,16,34702,6.95412829231745,13.0904138090024,325266,1.88033477215571,1.97826523522286
12,16,34528,6.96760281510658,13.054781047266,331939,1.89184208544341,1.97289902662839
1,17,29025,6.71232971576227,13.1798993970715,434269,1.51780916897131,1.94150125843659
4,17,36567,6.55971285585364,13.3164148002297,408671,1.87796033973539,2.00496918058781
7,17,33008,6.34651963160446,13.4441971643238,331394,1.86024095185791,2.05848066048269
10,17,37724,6.63867405365285,13.2827237302513,391431,1.96368402093856,1.9841596092287
11,17,31848,6.82289437327305,12.9378416227079,376320,1.96651668792517,1.97520115858844
12,17,32514,6.66956111213631,12.9068881097373,366994,1.95959541572887,1.98990942631215
1,18,27971,6.45657645418469,12.9651810804047,483149,1.57677583933735,1.93138183044982
4,18,32328,6.25887868101955,13.1485971912893,462934,1.92241267653704,1.99039381423702
7,18,29599,5.94121051386871,13.1185732626102,378022,1.90358132595457,2.03890866140066
10,18,32258,6.25339698679397,12.8988368776738,445074,2.00515633355352,1.98424837218081
11,18,28514,6.35841270954619,12.8718468120923,418999,1.99683395425765,1.97732560220907
12,18,29523,6.2830684551028,12.8473786539308,402164,1.99583995583891,1.99164892929253
1,19,27496,6.28514329356997,13.2041227814955,444248,1.59967905314149,2.017128113126
4,19,28624,6.26822806036892,13.1444326439352,435192,1.92905984025442,2.07464392727807
7,19,25023,5.9130727730488,12.9873500379651,366177,1.91767623307854,2.13342132356756
10,19,27769,6.1994115740574,12.9764669235478,425703,2.01167753104864,2.0937555995612
11,19,26697,5.98798741431622,12.9461594935761,394804,1.99189131822373,2.06369439012776
12,19,27776,5.95363875288018,12.7376242079493,383943,2.00692972654795,2.06875640394538
1,20,26709,6.2683956718709,13.2727773409712,393316,1.65685118327248,2.23188657466261
4,20,29445,6.17781864493123,13.4593781626762,403184,1.99338676633993,2.30077180642089
7,20,26881,5.92887020572151,13.2555396004613,326756,1.97521805261418,2.34511525419579
10,20,31175,6.04749959903769,13.2712943063352,382055,2.07090801062674,2.30580500189763
11,20,26179,6.0571507697009,13.293681958822,354901,2.06122501768099,2.27202526901868
12,20,26819,5.75372124240277,13.0951456057273,352907,2.04637077190308,2.26623181178044
1,21,27243,6.3704804904012,13.4110989979077,379452,1.7201369343158,2.3826147707747
4,21,28405,5.96064777327935,13.2064569618025,391782,2.08175773772149,2.46436268128704
7,21,25136,5.77109484404838,13.2627665499682,326632,2.04926412598888,2.49617398172867
10,21,27704,5.65853920011551,13.0117365723361,377059,2.15661660376758,2.48027308723568
11,21,23965,5.88263425829334,12.9928912998122,358787,2.13406176923913,2.43615950410689
12,21,25485,5.69906533254856,12.8461294879341,356883,2.12708820537823,2.44367106306549
1,22,24308,6.06444750699358,12.9134815698535,341879,1.75515802374524,2.50588825286139
4,22,23887,5.96837526688157,13.0722723657219,376054,2.14068689603089,2.61496213309791
7,22,21493,5.69456567254455,12.7099790629507,300091,2.07914642558424,2.62954567114642
10,22,24566,5.86017300333795,12.8448054221281,345063,2.18748535774627,2.61641297386274
11,22,21248,5.74224632906626,12.7586031626506,337183,2.17811535575637,2.58233030728121
12,22,21855,5.60422786547701,12.6982818576985,331103,2.19026955358302,2.62666242830781
1,23,20233,5.7958661592448,12.609274946869,259202,1.70769596685211,2.63228956566693
4,23,21646,5.863756814192,12.7641333271736,285780,2.1068384421583,2.75259717265029
7,23,21942,5.58534135447999,12.7880042840215,235085,2.02541497756131,2.74999106706085
10,23,20509,5.66366960846458,12.883605734068,272884,2.14498164055056,2.7160159628267
11,23,17077,5.671279498741,12.6524172864086,261202,2.13452243857245,2.69569455823462
12,23,19577,5.53243040302396,12.5963942381366,271940,2.1597770464073,2.75953787600206
