"pu_hour","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
0,1.95216409185603,2.23942547285193,2.34126284403297,2.32965106251776,2.36383788977203,2.38451850941384,2.36884033321197,2.33509453414882,2.31382411301683,2.39264532262231,2.31796508839164,2.38568357125084
1,1.80161374190047,2.07994408509415,2.14975246507203,2.17775111442352,2.20063437949585,2.2324121835542,2.19886527022299,2.21577624726511,2.12109663651192,2.12257009413785,2.08968870772747,2.20474319306931
2,1.68015337928009,1.940777178706,1.99389032629007,2.01914643696163,2.00420478086031,2.03464337854697,2.03458508517063,2.02668484928146,1.98596759240598,1.9915905880412,1.97261023227873,2.08509864321252
3,1.63122159018116,1.9242242919112,1.97147289456985,1.96905104990535,1.92662070293408,1.96164752903192,1.9224982086191,1.94079472098695,1.90992908534874,1.97328425584072,1.95068528326111,2.03673280186313
4,1.74782426641369,2.01657169168432,2.0917234150113,2.14517677097117,2.19500970071498,2.14121180009571,2.06966694368088,2.16465277635225,2.16264863286951,2.19163956691407,2.15057012736687,2.27909462283869
5,1.98492209043935,2.3867061426746,2.40519156024431,2.48227500037098,2.52456489601424,2.49429119685836,2.34362210604929,2.3930978082523,2.48285594146834,2.55300377755759,2.62157508446902,2.61453331064409
6,1.66777032225944,2.01863742212846,2.11131653008344,2.10553636601875,2.15963815016026,2.15810096919044,2.09499449055524,2.10469757572057,2.14431234775398,2.18003592122105,2.16346212738727,2.23824243523807
7,1.73549566423864,2.05459165106405,2.08116107401762,2.09460621741063,2.14711325683398,2.13378245296258,2.11680693193938,2.09778682030264,2.15367520666579,2.1420162400371,2.13418954943705,2.14567805862574
8,1.7860289149497,2.11336029197168,2.14191780550324,2.15872704393661,2.20388931476757,2.19506240142741,2.17539588388291,2.1779050720128,2.22034266761139,2.18381117521133,2.18970058089301,2.17399105209203
9,1.76662317452389,2.09053597137344,2.12003106867344,2.13353732085091,2.18309208523809,2.1688184672781,2.12504531904812,2.1010797040295,2.20851331104445,2.16655563658516,2.15303304517479,2.10565176956692
10,1.71579845314554,2.03855199595509,2.08277476063933,2.08008333667904,2.14945826246664,2.11795172544535,2.03884510755628,2.03250998996633,2.15231912403768,2.11839412259626,2.11982851200664,2.06224680002318
11,1.66452512367964,2.008472294041,2.06556697488277,2.08504895890411,2.1555407944212,2.14919536428644,2.04881563119219,2.04395843464205,2.17657406537225,2.15770199163867,2.09457698682718,2.05205561907989
12,1.67899191922733,2.02517447139347,2.08617751155726,2.1056407199406,2.18630524586584,2.16418285482242,2.03480029362879,2.04277117951092,2.19550829866382,2.17065836821912,2.13566421653337,2.08192315611636
13,1.72902384117479,2.07023508778682,2.11810162841568,2.143843775832,2.22834259843545,2.21385842969881,2.07383978037559,2.07503259210614,2.23924227737226,2.22940757978723,2.19106272955341,2.14563872520671
14,1.75964979263122,2.12176415630523,2.18815671428638,2.1826808057568,2.28830558633295,2.28958172709254,2.13416417151731,2.13855575342059,2.28928717322498,2.30174986011201,2.27997661756355,2.23117215313581
15,1.75711651647251,2.12413144825031,2.21070920133829,2.20428653619293,2.27603584460288,2.27018461481322,2.14191310135168,2.15162660541747,2.31290573335149,2.32665267961014,2.2730019526924,2.21954128304055
16,1.89300564971751,2.25579414542525,2.33060088020804,2.32386141470152,2.39863998750614,2.4199265001872,2.27653807777845,2.25233799237611,2.41670222897407,2.42234931134784,2.37909177728442,2.38008369024099
17,1.85120867223778,2.2068284848758,2.25579829215343,2.26834873071979,2.32637087214225,2.36467164503625,2.26945661583719,2.21250901868479,2.37782369411992,2.38235929807076,2.35053949179819,2.34738925770658
18,1.85082862384322,2.19339759765608,2.22750741133489,2.21318179263274,2.24694093724974,2.27249696913928,2.20425242628776,2.15722433007748,2.27989158669248,2.30122813177133,2.28289844192885,2.29598474662604
19,1.88092572018847,2.20372176715699,2.49581169221245,2.20247802741184,2.21953924304367,2.25071784052275,2.17970836649751,2.13515663791977,2.28110058683009,2.27741190581983,2.25239549846795,2.28055445110857
20,1.95649378349715,2.29190433487354,2.31685883989391,2.28398796549219,2.28239846968125,2.3506210901286,2.28083650819015,2.22182340609986,2.35085994719921,2.38069020747287,2.34458251270297,2.31424163725961
21,2.04158835158337,2.34905356976395,2.36899452776743,2.3518611590979,2.3501115964115,2.37530552116352,2.32297086383024,2.28990460677292,2.38593050214112,2.41046852169649,2.37867441938802,2.37358997161043
22,2.05323647713394,2.36220292096407,2.4145704864445,2.37738839996022,2.39923662490263,2.39618373879988,2.33007442929833,2.30144731083134,2.43166301273825,2.44339732094921,2.39862419606921,2.41297981315444
23,2.02311592684287,2.33457353764592,2.41144677147787,2.38385108699515,2.39156502202754,2.40781662223021,2.34023957333827,2.33662630518192,2.40465988583057,2.40337365427996,2.36419243692693,2.40165551191803
